,city_name,country,temperature,humidity,cloudness,wind_speed,lat,long,city_name_owm
0,saint-pierre,pm,17.1,87,36,2.6,51.203307,3.211888,Saint-Pierre
1,kamina,cd,20.01,59,0,2.57,-8.7351826,25.0032201,Kamina
2,bambous virieux,mu,20.0,88,20,3.1,-20.34440865,57.7645328674758,Bambous Virieux
3,rio brilhante,br,25.81,37,0,4.52,-21.9333756,-54.3644592,Rio Brilhante
4,hithadhoo,mv,29.06,100,68,9.87,1.7959425,73.3875519565704,Hithadhoo
5,mikuni,jp,17.0,77,75,1.0,34.7378711,135.4829521,Mikuni
6,college,us,16.68,31,1,2.1,64.8569444,-147.8027778,College
7,nanortalik,gl,1.41,95,0,2.57,60.1400246,-45.2428523,Nanortalik
8,hermanus,za,10.41,100,92,2.12,-34.4175,19.2361111,Hermanus
9,constitucion,mx,34.0,9,20,3.1,20.568384,-97.650964,Constitucion
10,bilma,ne,25.66,17,0,1.67,18.69293,12.91872,Bilma
11,dikson,ru,-3.65,94,80,6.07,73.5046755,80.3152069740025,Dikson
12,illoqqortoormiut,gl,-2.1,91,0,1.77,70.4857907,-21.9654126308067,Ittoqqortoormiit
13,esperance,au,30.0,62,20,6.7,-33.858228,121.8931606,Esperance
14,upernavik,gl,-1.05,100,64,2.92,72.7866434,-56.1453643,Upernavik
15,bredasdorp,za,16.0,72,92,3.6,-34.533055,20.042778,Bredasdorp
16,ushuaia,ar,2.0,69,75,5.22,-54.8069332,-68.3073246,Ushuaia
17,omboue,ga,25.86,100,92,4.22,-1.5726966,9.2653029,Omboue
18,belushya guba,ru,-2.6,78,0,3.77,71.5386769,52.337048,
19,lebu,cl,12.66,96,68,1.17,-37.6086982,-73.6529852,Lebu
20,biak,id,23.96,100,92,1.37,-0.9131174,122.8765606,Biak
21,hobart,au,14.0,62,0,4.1,-42.8825088,147.3281233,Hobart
22,mataura,pf,-5.7,82,0,1.22,-23.36421635,-149.522902386783,Mataura
23,barrow,us,17.91,72,12,4.67,71.285478,-156.736772403846,Barrow
24,puerto ayora,ec,27.0,69,20,10.3,-0.7471674,-90.3134198,Puerto Ayora
25,huaquillas,ec,26.0,74,75,4.1,-3.4810771,-80.2386354,Huaquillas
26,leningradskiy,ru,0.61,97,0,3.87,55.77701885,37.6547789905798,Leningradskiy
27,yellowknife,ca,15.0,54,75,8.2,62.4709394,-114.4384901,Yellowknife
28,meulaboh,id,27.71,100,80,1.62,4.1481951,96.1339107,Meulaboh
29,baherden,tm,15.51,64,0,1.22,38.4259972,57.4292683034566,Baherden
